recipient,purpose,term,amount
University of Washington,"To fund a randomized controlled trial to evaluate a joint hospital/community-based violence intervention program in Seattle, Washington.",2017 - 2019,"$590,676"
University of Washington,"To evaluate the Law Enforcement Assisted Diversion program in Seattle, Washington.",2014 - 2016,"$437,475"
University of Washington,To research how courts across the United States impose fines and fees.,2015 - 2020,"$3,941,740"
University of Washington Foundation,To support the Center on Reinventing Public Education.,2011 - 2013,"$221,375"
University of Washington Foundation,To support the Center on Reinventing Public Education.,2013 - 2015,"$2,000,000"
University of Washington Foundation,To support the Center on Reinventing Public Education.,2015 - 2018,"$2,500,000"
University of Washington Foundation,To support the Center for Education Data and Research.,2013 - 2014,"$25,204"
Urban Institute,To expand access to information about public sector retirement systems.,2013 - 2014,"$483,525"
Urban Institute,To fund the Tax Policy Center.,2014 - 2016,"$1,236,482"
Urban Institute,To identify key research questions and potential projects related to the federal government's New Markets Tax Credit program.,2015 - 2016,"$70,621"
Urban Institute,"To support the creation of a tool to effectively obtain, use, and analyze Social Security Administration data.",2015 - 2017,"$149,617"
Urban Institute,To analyze state-level data on prescription drugs used to treat opioid use disorder and opioid overdoses.,2018 - 2020,"$409,872"
Urban Institute,To improve the value of higher education.,2017 - 2019,"$701,766"
Urban Institute,To fund the Tax Policy Center.,2015 - 2017,"$176,358"
Urban Institute,To analyze the potential cost and coverage implications of introducing a healthcare public option and/or a capped payment rate program for private insurers.,2018 - 2020,"$599,300"
Urban Institute,To advance Pay for Success Financing.,2015 - 2019,"$8,433,895"
Urban Institute,To help governments implement and evaluate economic development initiatives.,2015 - 2019,"$741,482"
Urban Institute,To develop an evidence-based policymaking collaborative.,2016 - 2019,"$1,188,237"
Urban Institute,To assist with the Pension Tool.,2015 - 2020,"$750,000"
Urban Institute,To establish the Federal Evidence Forum.,2017 - 2019,"$404,708"
Urban Institute,To help improve the fiscal sustainability of state and local governments.,2016 - 2017,"$263,803"
Urban Institute,"To collaborate with EdBuild, Inc. to support policy research, education, and dissemination efforts related to school funding policy.",2016 - 2019,"$700,000"
Urban Institute,To fund the Tax Policy Center.,2016 - 2019,"Up To                    $10,912,336"
Urban Institute,"To evaluate a permanent supportive housing project conducted by Travis County, Texas.",2013 - 2015,"$98,182"
Urban Institute,To conduct research on police body-worn cameras.,2015 - 2017,"$306,361"
Urban Institute,To support research on Social Security retirement and disability policy.,2018 - 2020,"$1,541,345"
Urban Institute,To gather data on the state of prosecutorial decision making nationwide.,2016 - 2018,"$360,241"
Urban Institute,To analyze the impact of the recently enacted Tax Cuts and Jobs Act on federal and state tax expenditures in the individual and corporate income tax systems.,2018 - 2020,"$191,473"
Urban Institute,To advance the development of participatory justice.,2018 - 2019,"$87,886"
Urban Institute,To examine the New Markets Tax Credit and provide recommendations for how it can be improved.,2018 - 2021,"$332,840"
Urban Institute,To assess the impact of three community supervision policy reforms.,2018 - 2020,"$749,668"
Urban Institute,To build on the work of the Charles Colson Task Force on Federal Corrections.,2018 - 2020,"$156,921"
Urban Institute,To design and pilot a procedural justice curriculum for probation officers.,2018 - 2023,"Up To                    $1,057,227"
Urban Institute,To expand access to information about public sector retirement systems.,2013 - 2014,"$483,525"
US Right to Know,To conduct Freedom of Information Act requests and develop a series of research papers in nutrition and health research.,2017 - 2019,"Up To                    $397,600"
Valley Initiative for Development and Advancement,To preserve the scientific integrity of the Innovative Strategies for Increasing Self-Sufficiency program's ongoing randomized controlled trial.,2014 - 2018,"$370,105"
"Vera Institute of Justice, Inc.","To conduct a cost-benefit analysis of the use of court-imposed fines and fees in New Orleans, Louisiana.",2016 - 2017,"$100,000"
"Vera Institute of Justice, Inc.","To identify strategies to safely reduce the jail population in New Orleans, Louisiana.",2016 - 2018,"$200,000"
"Vera Institute of Justice, Inc.",To conduct research on the process and outcomes of 911 calls for service.,2018 - 2019,"$332,648"
"Vera Institute of Justice, Inc.","To reform the user-funded justice system in New Orleans, Louisiana.",2018 - 2020,"$499,436"
"Vera Institute of Justice, Inc.",To analyze the connections between jail and prison populations and create a publicly available dataset with corrections metrics.,2018 - 2019,"$384,273"
Veterans Education Success,To conduct research and educational outreach about policies related to protections for student veterans.,2017 - 2019,"$599,500"
Veterans Education Success,To provide Grantee with general operating support.,2018 - 2020,"$1,000,000"
Veterans Education Success,To support research and the use of administrative data to help improve education and employment among veterans.,2017 - 2020,"Up To                    $1,874,118"
VI3C,To support value-based clinical trials designed to improve the affordability and sustainability of cancer therapies.,2017 - 2018,"$165,269"
Virginia Polytechnic Institute and State University,To provide planning support for the Social and Decision Analytics Lab.,2016 - 2017,"$144,000"
"Vivli, Inc.",To promote data sharing in clinical trials.,2017 - 2019,"$2,000,000"
"Volcker Alliance, Inc.",To develop and publish Truth and Integrity in State Budgeting reports that analyze key principles for improving transparency and effectiveness.,2016 - 2018,"$1,500,000"
Vote.org,To fund a randomized controlled trial of a voter turnout tool housed on a non-partisan website that will provide information about 2018 electoral candidates.,2018 - 2019,"$148,520"
Wake County Public School System,To fund a low-cost randomized controlled trial of the tiered education support model of academic and behavioral services for students.,2015 - 2019,"$81,512"
Washington D.C. Metropolitan Police Department,"To fund a randomized controlled trial to assess the efficacy of police body-worn cameras in Washington, D.C.",2015 - 2017,"$95,298"
Washington Policy Center,"To analyze the city of Seattle, Washington's retirement plan.",2013 - 2014,"$25,000"
Washington State University Foundation,To research a community supervision model in Washington state.,2014 - 2016,"$75,000"
Washington University,To advance the implementation and rigorous testing of deferred prosecution programs.,2016 - 2018,"$359,808"
"Waxman Consulting, Inc.",To provide nonpartisan information and technical support to key stakeholders regarding prescription drug policy and publicly disseminate educational resources.,2018 - 2019,"$503,352"
"Westat, Inc.",To produce an evaluation and pre-analysis plan for a randomized controlled trial of The Independence Project.,2017 - 2018,"$50,323"
"Westat, Inc.","To support a randomized controlled trial of the Independence Project, an intervention for disabled young veterans.",2018 - 2024,"$1,897,136"
"Westchester Community College Foundation, Inc.",To support implementation of the City University of New York's Accelerated Study in Associate Programs at Westchester Community College.,2016 - 2021,"$1,000,000"
Western Center on Law and Poverty,To help reform driver's license suspensions for failure to pay fines and fees and eliminate fines and fees in juvenile justice systems.,2018 - 2020,"$250,000"
"William J. Brennan, Jr. Center for Justice, Inc.",To fund a fiscal-impact study of court-imposed fines and fees.,2015 - 2016,"$300,000"
"William J. Brennan, Jr. Center for Justice, Inc.",To support the launch of a national law enforcement leadership group.,2015 - 2016,"$300,000"
"William J. Brennan, Jr. Center for Justice, Inc.",To fund a fiscal-impact study of court-imposed fines and fees.,2016 - 2019,"$1,005,912"
William Marsh Rice University,To support social innovation and entrepreneurship through the OwlSpark Accelerator.,2013,"$88,700"
William Marsh Rice University,"To support OpenStax in its efforts to create free, high-quality online textbooks.",2013 - 2015,"$2,700,000"
William Marsh Rice University,"To support OpenStax in its efforts to create free, high-quality online textbooks.",2013 - 2016,"$6,000,000"
William Marsh Rice University,"To support OpenStax in its efforts to create free, high-quality online textbooks.",2014 - 2016,"$9,350,000"
William Marsh Rice University,To support the Houston Education Research Consortium.,2013 - 2015,"$1,672,289"
William Marsh Rice University,To support the Houston Education Research Consortium.,2015 - 2017,"$200,000"
William Marsh Rice University,To support the Houston Education Research Consortium.,2015 - 2017,"$884,314"
William Marsh Rice University,To support the Houston Education Research Consortium.,2011 - 2014,"$1,319,936"
William Marsh Rice University,To conduct a randomized controlled trial of the Houston Food Bank's food scholarship program.,2016 - 2020,"$98,930"
William Marsh Rice University,To conduct a randomized controlled trial of the Alief Independent School District Jumpstart Program.,2016 - 2020,"$499,029"
William Marsh Rice University,To conduct a randomized controlled trial of the Alief Independent School District Jumpstart Program.,2016 - 2020,"$499,029"
William Marsh Rice University,To provide operational support to launch the Texas Policy Lab.,2018 - 2021,"Up To                    $6,630,898"
Yale University,To assess the frequency that patients experience out-of-network billing when using in-network hospitals.,2018 - 2019,"$119,735"
Yale University,To produce a series of policy briefs that identify issues that raise healthcare spending.,2018 - 2020,"$706,889"
Yale University,To evaluate how competition in the U.S. pharmaceutical market through the introduction of new insulin products affects the price of insulin.,2018 - 2021,"$243,494"
Yale University,To launch a collaboration aimed at promoting open access to high-quality health data.,2015 - 2019,"$3,023,059"
"YES Prep Public Schools, Inc.",To improve K-12 public education.,2011 - 2012,"$92,000"
"YES Prep Public Schools, Inc.",To support a partnership between YES Prep Public Schools and KIPP Houston.,2011 - 2012,"$250,000"
"Youth Services, Inc.",To advance Pay for Success Financing.,2014 - 2020,"Up To                    $3,344,350"
Zest Education,"To develop a nonprofit organization that will engage the community in the implementation of high-quality school models in St. Louis, Missouri.",2017 - 2018,"$125,000"
